Course Code,Course Title,HEI,CATEGORY (ISCED Description),R1 Points
GY119,Arts (Journalism),"National University of Ireland, Galway",Journalism and information,484
GY122,Na Dána (Cumarsáid agus Gaeilge),"National University of Ireland, Galway",Arts,410
GY123,Applied Social Sciences,"National University of Ireland, Galway",Social and behavioural sciences,419
GY125,Arts (Digital Arts and Technology),"National University of Ireland, Galway",Arts,403
GY127,Arts (Film and Digital Media),"National University of Ireland, Galway",Arts,430
GY128,Arts (Global Languages),"National University of Ireland, Galway",Languages,346
GY129,Arts (Global Experience),"National University of Ireland, Galway",Arts,465
GY130,Arts (Music),"National University of Ireland, Galway",Arts,462
GY132,"Government (Politics, Economics and Law)","National University of Ireland, Galway",Social and behavioural sciences,465
GY133,Education (Computer Science and Mathematical Studies),"National University of Ireland, Galway",Education,454
GY134,Geography and Geosystems,"National University of Ireland, Galway",Physical sciences,425
GY135,Arts (Global Media),"National University of Ireland, Galway",Arts,442
GY136,Na Dána (Léann Teanga - options),"National University of Ireland, Galway",Languages,526
GY201,Commerce,"National University of Ireland, Galway",Business and administration,476
GY202,Commerce (International) with French,"National University of Ireland, Galway",Business and administration,520
GY203,Commerce (International) with German,"National University of Ireland, Galway",Business and administration,518
GY204,Commerce (International) with Spanish,"National University of Ireland, Galway",Business and administration,506
GY206,Business Information Systems (Work Placement and Optional Int`l Study),"National University of Ireland, Galway",Business and administration,509
GY207,Commerce (Accounting) including optional Global Experience year,"National University of Ireland, Galway",Business and administration,543
GY208,Commerce (Gaeilge),"National University of Ireland, Galway",Business and administration,508
GY209,Commerce (Global Experience),"National University of Ireland, Galway",Business and administration,551
GY250,Law and Business,"National University of Ireland, Galway",Law,510
GY251,Law (BCL),"National University of Ireland, Galway",Law,542
GY252,Law (BCL) and Human Rights,"National University of Ireland, Galway",Law,565
GY253,Law and Taxation,"National University of Ireland, Galway",Law,506
GY254,"Law (BCL), Criminology and Criminal Justice","National University of Ireland, Galway",Law,548
GY261,Business Studies in International Hotel Management (interview),"National University of Ireland, Galway",Business and administration,503
GY262,Commerce in International Hotel Management (interview),"National University of Ireland, Galway",Business and administration,709
GY301,Science,"National University of Ireland, Galway",Biological and related sciences,489
GY303,Biomedical Science,"National University of Ireland, Galway",Biological and related sciences,613
GY304,Biotechnology,"National University of Ireland, Galway",Engineering and engineering trades,498
GY308,Environmental Science,"National University of Ireland, Galway",Environment,431
GY309,Financial Mathematics and Economics,"National University of Ireland, Galway",Mathematics and statistics,509
GY310,Marine Science,"National University of Ireland, Galway",Physical sciences,467
GY313,Environmental Health and Safety,"National University of Ireland, Galway",Hygiene and occupational health services,412
GY314,Earth and Ocean Sciences,"National University of Ireland, Galway",Physical sciences,422
GY318,Biopharmaceutical Chemistry,"National University of Ireland, Galway",Biological and related sciences,555
GY319,Mathematical Science,"National University of Ireland, Galway",Mathematics and statistics,543
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)","National University of Ireland, Galway",Physical sciences,465
GY321,Genetics and Genomics,"National University of Ireland, Galway",Biological and related sciences,532
GY322,Agricultural Sciences,"National University of Ireland, Galway",Agriculture,485
GY350,Computer Science and Information Technology,"National University of Ireland, Galway",Information and Communication Technologies (ICTs),495
GY401,Engineering (Undenominated),"National University of Ireland, Galway",Engineering and engineering trades,522
GY402,Civil Engineering,"National University of Ireland, Galway",Architecture and construction,533
GY405,Mechanical Engineering,"National University of Ireland, Galway",Engineering and engineering trades,541
GY406,Electronic and Computer Engineering,"National University of Ireland, Galway",Engineering and engineering trades,555
GY408,Biomedical Engineering,"National University of Ireland, Galway",Engineering and engineering trades,554
GY410,Project and Construction Management,"National University of Ireland, Galway",Architecture and construction,431
GY413,Energy Systems Engineering,"National University of Ireland, Galway",Engineering and engineering trades,509
GY414,Electrical and Electronic Engineering,"National University of Ireland, Galway",Engineering and engineering trades,433
GY501,"Medicine (five year/six year course, HPAT required)","National University of Ireland, Galway",Health,737
GY502,Occupational Therapy,"National University of Ireland, Galway",Health,601
GY503,Speech and Language Therapy,"National University of Ireland, Galway",Health,578
GY504,Podiatric Medicine,"National University of Ireland, Galway",Health,531
GY515,General Nursing (Galway and Portiuncula),"National University of Ireland, Galway",Health,502
GY516,Mental Health Nursing,"National University of Ireland, Galway",Health,475
GY517,Midwifery,"National University of Ireland, Galway",Health,520
LY108,Business - Accounting,Letterkenny Institute of Technology,Business and administration,312
LY118,Business,Letterkenny Institute of Technology,Business and administration,288
LY128,Marketing with Online Technologies,Letterkenny Institute of Technology,Business and administration,261
LY208,Law,Letterkenny Institute of Technology,Law,300
LY228,Sports and Exercise - Common Entry,Letterkenny Institute of Technology,Personal services,290
LY408,Design - Common Entry,Letterkenny Institute of Technology,Arts,301
LY508,Fire Safety Engineering,Letterkenny Institute of Technology,Architecture and construction,283
LY518,Quantity Surveying,Letterkenny Institute of Technology,Architecture and construction,304
LY528,Construction Management,Letterkenny Institute of Technology,Architecture and construction,262
LY538,Architectural Technology,Letterkenny Institute of Technology,Architecture and construction,234
LY608,Mechanical Engineering,Letterkenny Institute of Technology,Engineering and engineering trades,300
LY618,Electronic Engineering,Letterkenny Institute of Technology,Engineering and engineering trades,321
LY708,Applied Computing,Letterkenny Institute of Technology,Information and Communication Technologies (ICTs),320
LY748,Computer Science,Letterkenny Institute of Technology,Information and Communication Technologies (ICTs),316
LY818,Science - Common Entry,Letterkenny Institute of Technology,Biological and related sciences,302
LY828,Agriculture - Common Entry,Letterkenny Institute of Technology,Agriculture,308
LY908,General Nursing,Letterkenny Institute of Technology,Health,429
LY918,Psychiatric Nursing,Letterkenny Institute of Technology,Health,367
LY928,Intellectual Disability Nursing,Letterkenny Institute of Technology,Health,357
LY968,"Early Childhood Care, Health and Education",Letterkenny Institute of Technology,Welfare,288
LY978,Health and Social Care - Common Entry,Letterkenny Institute of Technology,Health,279
MI001,Contemporary and Applied Theatre Studies,Mary Immaculate College,Arts,209
MI002,Arts,Mary Immaculate College,Arts,280
MI004,Education - Primary Teaching - International,Mary Immaculate College,Education,589
MI005,Education - Primary Teaching,Mary Immaculate College,Education,522
MI006,Education - Primary Teaching - Gaeltacht Applicants,Mary Immaculate College,Education,485
MI007,Early Childhood Care and Education,Mary Immaculate College,Education,409
MI008,Education and Psychology - Primary Teaching,Mary Immaculate College,Education,590
MI009,"Education, Business Studies and Accounting",Mary Immaculate College,Education,434
MI010,"Education, Business Studies and Religious Studies",Mary Immaculate College,Education,370
MI011,"Education, Gaeilge and Religious Studies",Mary Immaculate College,Education,407
MI012,"Education, Gaeilge and Business Studies",Mary Immaculate College,Education,387
MI013,"Education, Mathematics and Gaeilge",Mary Immaculate College,Education,509
MI014,"Education, Mathematics and Business Studies",Mary Immaculate College,Education,476
CI110,Counselling and Psychotherapy,Irish College of Humanities & Applied Sciences,Welfare,292
CI111,Counselling and Psychotherapy with Addiction Studies,Irish College of Humanities & Applied Sciences,Welfare,290
CI112,Counselling and Psychotherapy with Youth Studies,Irish College of Humanities & Applied Sciences,Welfare,325
LC110,"Art and Design (Common Entry, portfolio)",Limerick Institute of Technology,Arts,794
LC114,Fashion and Textiles for Product and Costume (portfolio),Limerick Institute of Technology,Arts,914
LC115,"Art and Design Teacher Education (LIT and UL, portfolio)",Limerick Institute of Technology,Education,993
LC220,Digital Marketing,Limerick Institute of Technology,Business and administration,263
LC223,Law and Taxation,Limerick Institute of Technology,Law,331
LC224,Accounting and Finance,Limerick Institute of Technology,Business and administration,300
LC225,Marketing and Management,Limerick Institute of Technology,Business and administration,298
LC226,Enterprise and Innovation,Limerick Institute of Technology,Business and administration,255
LC233,Software Development,Limerick Institute of Technology,Information and Communication Technologies (ICTs),280
LC234,Immersive Digital Media and Spatial Computing,Limerick Institute of Technology,Information and Communication Technologies (ICTs),226
LC236,Internet Systems Development,Limerick Institute of Technology,Information and Communication Technologies (ICTs),260
LC239,Computer Networks and Systems Management,Limerick Institute of Technology,Information and Communication Technologies (ICTs),317
LC241,Construction Management,Limerick Institute of Technology,Architecture and construction,326
LC242,Property Valuation and Management,Limerick Institute of Technology,Architecture and construction,308
LC243,Quantity Surveying,Limerick Institute of Technology,Architecture and construction,278
LC248,Built Environment (Common Entry),Limerick Institute of Technology,Architecture and construction,300
LC252,Civil Engineering Management,Limerick Institute of Technology,Architecture and construction,264
LC263,Medical Technology,Limerick Institute of Technology,Health,391
LC265,Forensic and Pharmaceutical Sciences,Limerick Institute of Technology,Physical sciences,498
LC266,Drug and Medicinal Product Analysis,Limerick Institute of Technology,Physical sciences,252
LC275,Electrical Engineering,Limerick Institute of Technology,Engineering and engineering trades,361
LC288,Mechanical Engineering,Limerick Institute of Technology,Engineering and engineering trades,378
LC289,Precision Engineering,Limerick Institute of Technology,Engineering and engineering trades,261
LC292,Social Care Work,Limerick Institute of Technology,Welfare,374
LC293,Business Studies with Travel and Tourism Management,Limerick Institute of Technology,Personal services,271
LC294,Business Studies with Event Management,Limerick Institute of Technology,Personal services,279
LC295,Business Studies with Sports Management,Limerick Institute of Technology,Business and administration,262
LC297,Community and Addiction Studies,Limerick Institute of Technology,Social and behavioural sciences,272
LC320,Business,Limerick Institute of Technology,Business and administration,381
LC330,Business with Computing,Limerick Institute of Technology,Information and Communication Technologies (ICTs),328
LC340,Interior Design,Limerick Institute of Technology,Arts,391
LC362,Biotechnology and Biopharmaceutical Sciences,Limerick Institute of Technology,Biological and related sciences,429
LC371,Creative Broadcast and Film Production,Limerick Institute of Technology,Arts,325
LC372,Music Technology and Production,Limerick Institute of Technology,Arts,377
LC374,Renewable and Electrical Energy Engineering,Limerick Institute of Technology,Engineering and engineering trades,337
LC375,Industrial Automation and Robotic Systems,Limerick Institute of Technology,Engineering and engineering trades,309
LC376,Electronic Engineering with Computer Systems,Limerick Institute of Technology,Engineering and engineering trades,357
LC380,Automotive Engineering and Transport Management,Limerick Institute of Technology,Engineering and engineering trades,298
LC392,Business Studies in Beauty and Spa Management,Limerick Institute of Technology,Personal services,328
LC393,Early Childhood Education and Care,Limerick Institute of Technology,Welfare,309
LC402,Social Care Work,Limerick Institute of Technology,Welfare,228
LC408,Environmental Science and Climate,Limerick Institute of Technology,Environment,279
LC416,Business,Limerick Institute of Technology,Business and administration,260
LC418,Computing - Games Design and Development,Limerick Institute of Technology,Information and Communication Technologies (ICTs),260
LC422,Applied Strength and Conditioning,Limerick Institute of Technology,Personal services,289
LC502,Game Art and Design (portfolio),Limerick Institute of Technology,Information and Communication Technologies (ICTs),841
LC517,Creative Media and Design,Limerick Institute of Technology,Information and Communication Technologies (ICTs),279
LC518,Digital Animation Production (portfolio),Limerick Institute of Technology,Information and Communication Technologies (ICTs),807
LC612,Social Care Work,Limerick Institute of Technology,Welfare,309
LM002,Arts,University of Limerick,Humanities (except languages),360
LM019,Social Sciences,University of Limerick,Social and behavioural sciences,451
LM020,Law and Accounting,University of Limerick,Law,474
LM026,Performing Arts (audition format TBC),University of Limerick,Arts,329
LM028,Criminal Justice,University of Limerick,Law,420
LM029,Law Plus,University of Limerick,Law,530
LM038,Psychology and Sociology,University of Limerick,Social and behavioural sciences,530
LM039,Journalism and Digital Communication,University of Limerick,Journalism and information,432
LM040,European Studies,University of Limerick,Humanities (except languages),409
LM044,Applied Languages,University of Limerick,Languages,429
LM050,Business Studies (options),University of Limerick,Business and administration,451
LM056,International Business,University of Limerick,Business and administration,555
LM058,Financial Mathematics,University of Limerick,Mathematics and statistics,468
LM063,Technology Management,University of Limerick,Information and Communication Technologies (ICTs),410
LM066,Environmental Science,University of Limerick,Environment,430
LM068,Food Science and Health,University of Limerick,Manufacturing and processing,464
LM076,Product Design and Technology (portfolio required),University of Limerick,Manufacturing and processing,401
LM077,Aeronautical Engineering,University of Limerick,Engineering and engineering trades,567
LM082,Construction Management and Engineering,University of Limerick,Architecture and construction,446
LM089,Sport and Exercise Sciences,University of Limerick,Personal services,498
LM090,Physical Education with concurrent Teacher Education,University of Limerick,Education,552
LM091,Languages with concurrent Teacher Education,University of Limerick,Education,506
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),University of Limerick,Education,521
LM093,Equine Science,University of Limerick,Biological and related sciences,367
LM094,Materials and Architectural Technology with concurrent Teacher Education,University of Limerick,Education,475
LM095,Materials and Engineering Technology with concurrent Teacher Education,University of Limerick,Education,425
LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),University of Limerick,Education,454
LM097,Mathematics and Computer Science with concurrent Teacher Education,University of Limerick,Mathematics and statistics,465
LM099,Architecture,University of Limerick,Architecture and construction,520
LM100,Physiotherapy,University of Limerick,Health,613
LM101,Medicine  - Graduate Entry (GAMSAT required),University of Limerick,Health,57
LM102,Psychology,University of Limerick,Social and behavioural sciences,534
LM103,Paramedic Studies (Full B/Provisional C1 Drivers Licence),University of Limerick,Health,429
LM105,Exercise and Health Fitness Management,University of Limerick,Personal services,441
LM115,Chemical and Biochemical Engineering,University of Limerick,Physical sciences,476
LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),University of Limerick,Engineering and engineering trades,498
LM118,Electronic and Computer Engineering,University of Limerick,Engineering and engineering trades,445
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),University of Limerick,Information and Communication Technologies (ICTs),402
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),University of Limerick,Information and Communication Technologies (ICTs),382
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind Bio/Pharma and In,University of Limerick,Biological and related sciences,498
LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),University of Limerick,Mathematics and statistics,455
LM125,Physics (Applied Physics or Mathematics and Physics),University of Limerick,Physical sciences,489
LM150,General Nursing,University of Limerick,Health,498
LM152,Mental Health Nursing,University of Limerick,Health,478
LM154,Intellectual Disability Nursing,University of Limerick,Health,462
LM156,Midwifery,University of Limerick,Health,521
MU001,Theology and Arts,"Pontifical University, St Patrick's College",Interdisciplinary programmes and qualifications involving arts and humanities,294
MH001,Education - Primary Teaching (Froebel),Maynooth University,Education,564
MH003,Early Childhood - Teaching and Learning (full-time),Maynooth University,Education,381
MH101,Arts,Maynooth University,Humanities (except languages),338
MH103,Music,Maynooth University,Arts,#
MH106,Psychology - 3 years,Maynooth University,Social and behavioural sciences,554
MH107,Social Science,Maynooth University,Social and behavioural sciences,390
MH109,Media Studies,Maynooth University,Arts,324
MH116,Community and Youth Work (Full-Time),Maynooth University,Welfare,#
MH201,Science,Maynooth University,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",401
MH202,Biotechnology,Maynooth University,Biological and related sciences,490
MH203,Biological and Geographical Sciences,Maynooth University,Biological and related sciences,451
MH204,Physics with Astrophysics,Maynooth University,Physical sciences,422
MH206,Theoretical Physics and Mathematics,Maynooth University,Mathematics and statistics,521
MH207,Data Science,Maynooth University,Information and Communication Technologies (ICTs),444
MH208,Biological and Biomedical Sciences,Maynooth University,Biological and related sciences,543
MH209,Psychology (through Science) - 4 years,Maynooth University,Social and behavioural sciences,529
MH210,Pharmaceutical and Biomedical Chemistry,Maynooth University,Physical sciences,510
MH212,Science|Maths and Computer Science|Mathematics (with Education),Maynooth University,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",452
MH304,Engineering (Computer/Electronic/Communications),Maynooth University,Engineering and engineering trades,351
MH305,Product Design,Maynooth University,Engineering and engineering trades,326
MH306,Robotics and Intelligent Devices,Maynooth University,Engineering and engineering trades,362
MH401,Finance (options),Maynooth University,Business and administration,370
MH402,Quantitative Finance,Maynooth University,Business and administration,476
MH403,Accounting and Finance,Maynooth University,Business and administration,424
MH404,Business (options),Maynooth University,Business and administration,441
MH407,Business and Accounting,Maynooth University,Business and administration,423
MH411,Entrepreneurship,Maynooth University,Business and administration,378
MH501,LLB Law - four year Single Major Law programme,Maynooth University,Law,507
MH502,Law (options),Maynooth University,Law,465
MH601,Computer Science through Arts (options),Maynooth University,Information and Communication Technologies (ICTs),381
MH602,Computer Science through Science (options),Maynooth University,Information and Communication Technologies (ICTs),400
MH603,Computational Thinking,Maynooth University,Information and Communication Technologies (ICTs),520
MH801,Early Childhood - Teaching and Learning (part-time),Maynooth University,Education,AQA
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",St. Angela`s College,Education,542
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",St. Angela`s College,Education,464
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",St. Angela`s College,Education,463
AS051,"Nutrition, Food and Business Management",St. Angela`s College,Business and administration,378
AS054,Home Economics,St. Angela`s College,Biological and related sciences,440
AS110,General Nursing,St. Angela`s College,Health,440
AS130,Intellectual Disability Nursing,St. Angela`s College,Health,387
SG141,Business,"Institute of Technology, Sligo",Business and administration,262
SG145,Business and ICT,"Institute of Technology, Sligo",Business and administration,279
SG146,Accounting,"Institute of Technology, Sligo",Business and administration,304
SG147,Sport with Business,"Institute of Technology, Sligo",Personal services,288
SG148,Tourism with Event Management,"Institute of Technology, Sligo",Personal services,298
SG150,Business in Marketing,"Institute of Technology, Sligo",Business and administration,298
SG241,Performing Arts,"Institute of Technology, Sligo",Arts,341
SG242,Early Childhood Care and Education,"Institute of Technology, Sligo",Welfare,287
SG243,Social Care Practice,"Institute of Technology, Sligo",Welfare,309
SG244,Fine Art,"Institute of Technology, Sligo",Arts,501
SG245,Creative Design,"Institute of Technology, Sligo",Arts,332
SG246,Computing,"Institute of Technology, Sligo",Information and Communication Technologies (ICTs),316
SG247,English and Psychology,"Institute of Technology, Sligo",Social and behavioural sciences,319
SG248,Sociology and Politics,"Institute of Technology, Sligo",Social and behavioural sciences,298
SG249,Writing and Literature,"Institute of Technology, Sligo",Languages,308
SG252,Software Development,"Institute of Technology, Sligo",Information and Communication Technologies (ICTs),310
SG253,Computing in Computer Networks and Cyber Security,"Institute of Technology, Sligo",Information and Communication Technologies (ICTs),336
SG254,Writing and Literature Online,"Institute of Technology, Sligo",Languages,327
SG255,Law and Business,"Institute of Technology, Sligo",Law,291
SG341,General Engineering,"Institute of Technology, Sligo",Engineering and engineering trades,373
SG342,Civil Engineering,"Institute of Technology, Sligo",Architecture and construction,418
SG343,Quantity Surveying,"Institute of Technology, Sligo",Architecture and construction,300
SG344,Mechanical Engineering,"Institute of Technology, Sligo",Engineering and engineering trades,412
SG346,Construction Project Management and Applied Technology,"Institute of Technology, Sligo",Architecture and construction,313
SG347,Architecture,"Institute of Technology, Sligo",Architecture and construction,403
SG348,Interior Architecture and Design,"Institute of Technology, Sligo",Architecture and construction,359
SG350,Robotics and Automation,"Institute of Technology, Sligo",Engineering and engineering trades,384
SG442,Occupational Safety and Health,"Institute of Technology, Sligo",Hygiene and occupational health services,307
SG443,Human Nutrition,"Institute of Technology, Sligo",Health,376
SG444,Science Undenominated,"Institute of Technology, Sligo",Biological and related sciences,358
SG445,Pharmaceutical Science with Drug Development,"Institute of Technology, Sligo",Physical sciences,357
SG447,Health Science and Physical Activity,"Institute of Technology, Sligo",Health,326
SG448,Forensic Investigation and Analysis,"Institute of Technology, Sligo",Biological and related sciences,308
SG449,Medical Biotechnology,"Institute of Technology, Sligo",Health,315
SG450,Environmental Science with Ecology (Level 8),"Institute of Technology, Sligo",Environment,310
TL801,"Animation, Visual Effects and Motion Design (Level 8, portfolio)","Institute of Technology, Tralee",Arts,718
TL802,"TV, Radio and New Media (Level 8)","Institute of Technology, Tralee",Arts,322
TL810,Computing with Software Development,"Institute of Technology, Tralee",Information and Communication Technologies (ICTs),308
TL811,Computing with Games Development,"Institute of Technology, Tralee",Information and Communication Technologies (ICTs),322
TL815,Computing (Degree Award options),"Institute of Technology, Tralee",Information and Communication Technologies (ICTs),307
TL823,Event Management (3 year programme),"Institute of Technology, Tralee",Personal services,293
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),"Institute of Technology, Tralee",Business and administration,306
TL844,Agricultural Engineering,"Institute of Technology, Tralee","Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",301
TL845,Civil Engineering,"Institute of Technology, Tralee",Architecture and construction,361
TL847,Manufacturing Engineering,"Institute of Technology, Tralee",Manufacturing and processing,305
TL848,Agricultural Science,"Institute of Technology, Tralee","Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",307
TL851,Wildlife Biology (Degree Award options),"Institute of Technology, Tralee",Environment,309
TL855,Pharmaceutical Science (Degree Award options),"Institute of Technology, Tralee",Health,316
TL858,Veterinary Bioscience,"Institute of Technology, Tralee",Veterinary,317
TL871,Health and Leisure (Degree Award options),"Institute of Technology, Tralee",Personal services,303
TL872,Health and Leisure with Massage,"Institute of Technology, Tralee",Personal services,314
TL873,Coaching and Sports Performance,"Institute of Technology, Tralee",Personal services,308
TL874,Inclusive Sport and Physical Activity,"Institute of Technology, Tralee",Personal services,341
TL880,Early Childhood Care and Education,"Institute of Technology, Tralee",Welfare,309
TL881,Social Care,"Institute of Technology, Tralee",Welfare,301
TL890,General Nursing and Mature Applicants,"Institute of Technology, Tralee",Health,463
TL891,Mental Health Nursing and Mature Applicants,"Institute of Technology, Tralee",Health,440
WD001,Applied Computing (options),Waterford Institute of Technology,Information and Communication Technologies (ICTs),270
WD002,Science (options),Waterford Institute of Technology,Biological and related sciences,279
WD005,Health Sciences (options),Waterford Institute of Technology,Health,271
WD006,Exercise Sciences (options),Waterford Institute of Technology,Personal services,270
WD007,Engineering (options),Waterford Institute of Technology,Engineering and engineering trades,270
WD025,Construction Management and Engineering,Waterford Institute of Technology,Architecture and construction,262
WD027,Music,Waterford Institute of Technology,Arts,321
WD048,Business (options),Waterford Institute of Technology,Business and administration,279
WD084,Accounting,Waterford Institute of Technology,Business and administration,308
WD091,Hospitality Management,Waterford Institute of Technology,Personal services,225
WD116,General Nursing,Waterford Institute of Technology,Health,446
WD117,Psychiatric Nursing,Waterford Institute of Technology,Health,415
WD120,Intellectual Disability Nursing,Waterford Institute of Technology,Health,390
WD134,International Business,Waterford Institute of Technology,Business and administration,267
WD137,Design (Visual Communications),Waterford Institute of Technology,Arts,252
WD140,Laws,Waterford Institute of Technology,Law,280
WD144,Architecture,Waterford Institute of Technology,Architecture and construction,309
WD147,Pharmaceutical Science,Waterford Institute of Technology,Physical sciences,288
WD150,Criminal Justice Studies,Waterford Institute of Technology,Law,280
WD152,Visual Art,Waterford Institute of Technology,Arts,243
WD161,Computer Forensics and Security,Waterford Institute of Technology,Information and Communication Technologies (ICTs),270
WD162,Quantity Surveying,Waterford Institute of Technology,Architecture and construction,226
WD163,Psychology,Waterford Institute of Technology,Social and behavioural sciences,456
WD186,Sports Coaching and Performance,Waterford Institute of Technology,Personal services,261
WD187,Social Science,Waterford Institute of Technology,Welfare,276
WD191,Agricultural Science,Waterford Institute of Technology,Agriculture,377
WD192,Social Care Practice,Waterford Institute of Technology,Welfare,271
WD193,Marketing and Digital Media,Waterford Institute of Technology,Business and administration,279
WD194,Culinary Arts,Waterford Institute of Technology,Personal services,237
WD195,Architectural and Building Information Modelling Technology,Waterford Institute of Technology,Architecture and construction,279
WD200,Arts (options),Waterford Institute of Technology,Arts,201
WD210,Software Systems Development,Waterford Institute of Technology,Information and Communication Technologies (ICTs),260
WD211,Creative Computing,Waterford Institute of Technology,Information and Communication Technologies (ICTs),270
WD212,Recreation and Sport Management,Waterford Institute of Technology,Personal services,262
WD230,Mechanical and Manufacturing Engineering,Waterford Institute of Technology,Engineering and engineering trades,230
WD231,Early Childhood Care and Education,Waterford Institute of Technology,Welfare,266
WD232,Business Information Systems,Waterford Institute of Technology,Business and administration,261
